"name","label","concept","geography"
"B03001_003","Estimate!!Total:!!Hispanic or Latino:","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_004","Estimate!!Total:!!Hispanic or Latino:!!Mexican","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_005","Estimate!!Total:!!Hispanic or Latino:!!Puerto Rican","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_006","Estimate!!Total:!!Hispanic or Latino:!!Cuban","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_007","Estimate!!Total:!!Hispanic or Latino:!!Dominican (Dominican Republic)","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_008","Estimate!!Total:!!Hispanic or Latino:!!Central American:","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_009","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Costa Rican","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_010","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Guatemalan","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_011","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Honduran","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_012","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Nicaraguan","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_013","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Panamanian","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_014","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Salvadoran","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_015","Estimate!!Total:!!Hispanic or Latino:!!Central American:!!Other Central American","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_016","Estimate!!Total:!!Hispanic or Latino:!!South American:","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_017","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Argentinean","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_018","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Bolivian","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_019","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Chilean","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_020","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Colombian","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_021","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Ecuadorian","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_022","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Paraguayan","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_023","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Peruvian","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_024","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Uruguayan","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_025","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Venezuelan","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_026","Estimate!!Total:!!Hispanic or Latino:!!South American:!!Other South American","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_027","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_028","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!Spaniard","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_029","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!Spanish","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_030","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!Spanish American","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03001_031","Estimate!!Total:!!Hispanic or Latino:!!Other Hispanic or Latino:!!All other Hispanic or Latino","HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN","tract"
"B03002_001","Estimate!!Total:","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_002","Estimate!!Total:!!Not Hispanic or Latino:","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_003","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_004","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_005","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_006","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_007","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_008","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_009","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_010","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_011","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_012","Estimate!!Total:!!Hispanic or Latino:","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_013","Estimate!!Total:!!Hispanic or Latino:!!White alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_014","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_015","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_016","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_017","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_018","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_019","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_020","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03002_021","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","HISPANIC OR LATINO ORIGIN BY RACE","block group"
"B03003_001","Estimate!!Total:","HISPANIC OR LATINO ORIGIN","block group"
"B03003_002","Estimate!!Total:!!Not Hispanic or Latino","HISPANIC OR LATINO ORIGIN","block group"
"B03003_003","Estimate!!Total:!!Hispanic or Latino","HISPANIC OR LATINO ORIGIN","block group"
"B05003H_001","Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_002","Estimate!!Total:!!Male:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_003","Estimate!!Total:!!Male:!!Under 18 years:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_004","Estimate!!Total:!!Male:!!Under 18 years:!!Native","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_005","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_006","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_007","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_008","Estimate!!Total:!!Male:!!18 years and over:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_009","Estimate!!Total:!!Male:!!18 years and over:!!Native","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_010","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_011","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_012","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_013","Estimate!!Total:!!Female:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_014","Estimate!!Total:!!Female:!!Under 18 years:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_015","Estimate!!Total:!!Female:!!Under 18 years:!!Native","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_016","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_017","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_018","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_019","Estimate!!Total:!!Female:!!18 years and over:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_020","Estimate!!Total:!!Female:!!18 years and over:!!Native","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_021","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_022","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003H_023","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","tract"
"B05003I_001","Estimate!!Total:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_002","Estimate!!Total:!!Male:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_003","Estimate!!Total:!!Male:!!Under 18 years:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_004","Estimate!!Total:!!Male:!!Under 18 years:!!Native","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_005","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_006","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_007","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_008","Estimate!!Total:!!Male:!!18 years and over:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_009","Estimate!!Total:!!Male:!!18 years and over:!!Native","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_010","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_011","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_012","Estimate!!Total:!!Male:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_013","Estimate!!Total:!!Female:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_014","Estimate!!Total:!!Female:!!Under 18 years:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_015","Estimate!!Total:!!Female:!!Under 18 years:!!Native","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_016","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_017","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Naturalized U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_018","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign born:!!Not a U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_019","Estimate!!Total:!!Female:!!18 years and over:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_020","Estimate!!Total:!!Female:!!18 years and over:!!Native","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_021","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_022","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B05003I_023","Estimate!!Total:!!Female:!!18 years and over:!!Foreign born:!!Not a U.S. citizen","SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO)","tract"
"B06004HPR_001","Estimate!!Total:","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO",NA
"B06004HPR_002","Estimate!!Total:!!Born in Puerto Rico","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO",NA
"B06004HPR_003","Estimate!!Total:!!Born in the United States","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO",NA
"B06004HPR_004","Estimate!!Total:!!Native; born elsewhere","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO",NA
"B06004HPR_005","Estimate!!Total:!!Foreign born","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO",NA
"B06004H_001","Estimate!!Total:","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN THE UNITED STATES","tract"
"B06004H_002","Estimate!!Total:!!Born in state of residence","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN THE UNITED STATES","tract"
"B06004H_003","Estimate!!Total:!!Born in other state in the United States","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN THE UNITED STATES","tract"
"B06004H_004","Estimate!!Total:!!Native; born outside the United States","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN THE UNITED STATES","tract"
"B06004H_005","Estimate!!Total:!!Foreign born","PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN THE UNITED STATES","tract"
"B06004IPR_001","Estimate!!Total:","PLACE OF BIRTH (HISPANIC OR LATINO) IN PUERTO RICO",NA
"B06004IPR_002","Estimate!!Total:!!Born in Puerto Rico","PLACE OF BIRTH (HISPANIC OR LATINO) IN PUERTO RICO",NA
"B06004IPR_003","Estimate!!Total:!!Born in the United States","PLACE OF BIRTH (HISPANIC OR LATINO) IN PUERTO RICO",NA
"B06004IPR_004","Estimate!!Total:!!Native; born elsewhere","PLACE OF BIRTH (HISPANIC OR LATINO) IN PUERTO RICO",NA
"B06004IPR_005","Estimate!!Total:!!Foreign born","PLACE OF BIRTH (HISPANIC OR LATINO) IN PUERTO RICO",NA
"B06004I_001","Estimate!!Total:","PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES","tract"
